"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","dataset_id","weight_kg","weight_class"
"1","2019-P","1019",497.738790694172,"Reischer, Melanie","Baerndorf","Lower Austria","Austria","Austrian Weigh-off","419.6 Grabmayer 18","1789 Paton 18",297.158496916031,586.742117564154,0,"Prizewinner",10,225.770333548551,"light"
"2","2013-P","760",649.000042769967,"Julien, Bernard",NA,"Other","France","Le Potager Extraordinaire",NA,NA,324.937734896754,698.70711373214,0,"Dill's Atlantic",10,294.381227400115,"light"
"3","2020-P","EXH",385.037203992063,"Hubertus, Elmar","Alfter- Gielsdorf","North Rhine-Westphalia","Germany","XXL-Kuerbis-Wiegemeisterschaft auf dem Krewelshof","97 Ressel","open",262.238329067896,371.553762699943,0,"Big Moose",10,174.649795433168,"light"
"4","2018-P","643",836.511425098395,"Reiser, Helmut","Bad Hersfeld","Hesse","Germany","Tharinger Meisterschaft","unknown","unknown",325.897234431199,768.166431606922,12.890009824729,"Wolf",10,379.434890333231,"light"
"5","2020-P","804",650.888655176268,"Haase, Erik","Muehlacker","Baden-Wuerttemberg","Germany","Deutsche Meisterschaft im Kurbiswiegen",NA,NA,313.521789887675,645.475980967354,0,"Jack O'Lantern",10,295.237886878714,"light"
"6","2014-P","EXH",104.731480595259,"Brault, Melisa",NA,"Other","France","Le Potager Extraordinaire",NA,NA,176.608094240558,133.573231406802,0,"Jack O'Lantern",10,47.5053617461649,"light"
"7","2016-P","1088",565.028369813071,"Nicole, BUREAU",NA,"Other","France","Le Potager Extraordinaire",NA,NA,0,0,0,"Spirit",10,256.29234832025,"light"
"8","2019-P","1295",284.996817059356,"Sobolewski, Nadine","Vehlen","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg",NA,NA,218.73503137049,316.784398595814,0,"Jack O'Lantern",10,129.272276243587,"light"
"9","2017-P","1344",288.618173416873,"Karkos, Udo","Klaeden","Saxony-Anhalt","Germany","Wiegemeisterschaft Berlin/Brandenburg",NA,NA,232.10985103127,314.400976900397,0,"Cinderella",10,130.914894516506,"light"
"10","2020-P","556",895.998960605306,"Rochlitz, Katrin","Heustreu","Bavaria","Germany","Deutsche Meisterschaft im Kurbiswiegen","2241 van Geel",NA,345.776171645139,NA,NA,"Prizewinner",10,406.417960538882,"light"
"11","2020-P","151",1507.72358911745,"Boettke , Roswitha","Einhausen","Hesse","Germany","Deutsche Meisterschaft im Kurbiswiegen","1603 Wuerschung","1891 Harnica",399.52534931204,1561.70922950986,0,"Atlantic Giant",10,683.891358234963,"medium"
"12","2019-P","665",863.497678026554,"Karkos, Udo","Bad Liebenstein","Thuringia","Germany","Wiegemeisterschaft Berlin/Brandenburg","2363 Holland 2017","self",351.215891114357,930.376856142631,0,"Blue Hubbard",10,391.67563877142,"light"
"13","2019-P","1178",434.280181522697,"Graefe, Oliver","Werder","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","1242.3 Voigt 2018","open",272.529476447142,438.736715811805,0,"Blue Hubbard",10,196.986016097243,"light"
"14","2021-P","1247",157.114179906259,"Frommelt, Armin","Osterburg","Saxony-Anhalt","Germany","GPC Kurbiswagen Sachsen-Anhalt",NA,NA,192.166484742835,150.519049049898,0,"Connecticut Field",10,71.2657350920398,"light"
"15","2014-P","1333",405.204814232774,"Derouin, Jean Claude",NA,"Other","France","Le Potager Extraordinaire",NA,NA,291.418787561949,452.08708016008,0,"Casper",10,183.797662097473,"light"
"16","2019-P","182",1454.46050423241,"Pross, Heike","Sinntal","Hesse","Germany","Deutsche Meisterschaft im Kurbiswiegen","2416 Haist","self",395.49160104405,1460.33738112821,2.03118939847269,"Wolf",10,659.731649035788,"medium"
"17","2021-P","1314",97.1280388826062,"Frommelt, Armin","Klaeden","Saxony-Anhalt","Germany","GPC Kurbiswagen Sachsen-Anhalt",NA,NA,158.957363744766,92.3664128466202,3.97166423367816,"Prizewinner",10,44.0565014128391,"light"
"18","2014-P","1361",360.177676392273,"Reiser, Helmut","Adelshausen","Other","Germany","Saechsische Meisterschaft im Kurbiswiegen","1472 THE 10",NA,254.827121858128,394.959438223079,0,"Spirit",10,163.373712590124,"light"
"19","2014-P","163",1635.06959499761,"Zaklikowski, Dirk","Marpingen","Saarland","Germany","Gartenbauschule Langenlois","2032 Mathison","1375 Willemijns",435.920038014268,1697.04949271804,0,"Connecticut Field",10,741.654487734157,"medium"
"20","2021-P","1042",324.137352299131,"Lehmann, Werner","Klaeden","Saxony-Anhalt","Germany","GPC Kurbiswagen Sachsen-Anhalt",NA,NA,264.895250112468,409.795537143843,0,"Wolf",10,147.026109904067,"light"
"21","2020-P","626",905.718892937021,"Burghardt, Raimund","Waldkirchen","Bavaria","Germany","Deutsche Meisterschaft im Kurbiswiegen","2269 Haist","2517 Haist",352.762576315542,891.800897233657,0,"Connecticut Field",10,410.826844085089,"light"
"22","2016-P","852",785.908144425631,"Siwek, Ryszard","Dietenhofen","Bavaria","Germany","Legoland","2008 Neptune","self",315.956869979259,752.636553418643,1.9355789080495,"Casper",10,356.481647046311,"light"
"23","2015-P","804",841.07027617123,"Frei, Peter","Tapfheim","Bavaria","Germany","Early Weigh-off Ludwigsburg",NA,NA,317.594404394074,786.703427163268,13.8015030533849,"Connecticut Field",10,381.502748709061,"light"
"24","2016-P","542",1005.04025028067,"Olsen, Owen","Angermuende","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","1714  Lueders 2015",NA,363.867644703133,1077.96072759939,0,"Autumn Gold",10,455.878217205312,"medium"
"25","2017-P","590",950.236512111791,"Walz, Sabin u Roland","Glindow","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","543.6 Grafe 2016","1751.6 Lovse 2014",371.118611334363,1012.78639664061,0,"Champion",10,431.019680001812,"medium"
"26","2013-P","919",472.201185740601,"Prestin, Sylvia","Glueckstadt","Other","Germany","Tharinger Meisterschaft","unknown","open",291.970349032399,517.031504866012,0,"Connecticut Field",10,214.186680242451,"light"
"27","2017-P","574",948.921693518144,"Kotzan, Steven","Doberlug Kirchhain","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","641.5 Grottschreiber 2016","951.3 Luckenwalde 2016",372.271365569038,959.88494623203,0,"Champion",10,430.423288806282,"medium"
"28","2017-P","677",857.608424981125,"Goell, Johannes","Angermuende","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg",NA,NA,345.882606883293,915.220064469483,0,"Jack O'Lantern",10,389.004320704038,"light"
"29","2019-P","1359",285.119933095943,"Luetjens, Alexander","Gross Kreutz","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","997.6 Goedel 2018","open",223.435024978896,262.200239473421,5.02981307137773,"Atlantic Giant",10,129.328120692855,"light"
"30","2019-P","601",873.484797477524,"Strauss, Andy","Schilda","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","1306.2 Grafe 2018","self",333.909629666292,1061.83130463932,0,"Big Moose",10,396.205716257425,"light"
"31","2020-P","1018",419.308801938212,"Jaglarz, Mario","Seefeld","Lower Austria","Austria","Leiserberge Weigh-off","2468 Daletas","2433 Paton",262.594244647256,418.723982810842,0.983786055992466,"Autumn Gold",10,190.195118088758,"light"
"32","2015-P","1527",272.364724298469,"Paul, Stephan",NA,"Other","Germany","Saechsische Meisterschaft im Kurbiswiegen","1366 THE 14","open",229.100544228613,274.86952691862,0,"Jack O'Lantern",10,123.542460023991,"light"
"33","2017-P","1018",579.740464366102,"Lueders, Sebastian","Klaeden","Saxony-Anhalt","Germany","Wiegemeisterschaft Berlin/Brandenburg","1695 DeSwert 2014","self",288.917924322674,534.52513141672,0,"Early Giant",10,262.965636712749,"light"
"34","2014-P","424",1145.2584551443,"Heyde, Nadin","Beelitz OT Elzholz","Brandenburg","Germany","Tharinger Meisterschaft","984 Lueders","1634 Werner",365.920006743119,1108.98349795325,NA,"Early Giant",10,519.480073185815,"medium"
"35","2018-P","583",921.500302940497,"Belusa, Adrian","Bad Lippspringe","North Rhine-Westphalia","Germany","XXL-Kuerbis-Wiegemeisterschaft auf dem Krewelshof","2269 Paton","1823 Cotterman",350.24953338628,939.60402816755,0,"Early Giant",10,417.985165411386,"light"
"36","2013-P","1001",450.863605856534,"Williams, Stephen","Gross Kreutz","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg","1109  Haase 2012","self",280.125071666505,NA,0,"Champion",10,204.508124707677,"light"
"37","2017-P","1179",461.525175956132,"Hubertus, Elmar","Kloster Lehnin OT Grebs","Brandenburg","Germany","Wiegemeisterschaft Berlin/Brandenburg",NA,NA,264.264321418438,420.88803063227,4.87972832652965,"Autumn Gold",10,209.344127612294,"light"
"38","2018-P","429",1139.73311502953,"Puchner, Thomas",NA,"Styria","Austria","Austrian Weigh-off","1527.8 Melka 17","open",338.279090087311,926.055388993886,21.1928322353744,"Autumn Gold",10,516.973823112475,"medium"
"39","2021-P","410",1202.3921689183,"Marion, Mitschke","Kollmarsreute","Baden-Wuerttemberg","Germany","Deutsche Meisterschaft im Kurbiswiegen","2226.7 Boonen 2018",NA,405.779860142677,1387.97952209633,0,"Jack O'Lantern",10,545.395468683988,"medium"
